Source,Target,Effect,SE,|Effect|/SE,P_empirical,qval
mom,insulin,0.549243703529187,0.0911158874643041,6.027968544392,0,< 0.00296
D1Mit76,insulin,0.800630680727933,0.137876950415754,5.8068493559925,0,< 0.00296
D1Mit123,insulin,0.747156069351363,0.139299637984021,5.36366124251572,0,< 0.00296
D1Mit411,insulin,0.742954534422694,0.138904056836849,5.34868852171352,0,< 0.00296
mom,body_weight,0.568682531204522,0.108539888010159,5.23938748813982,0,< 0.00296
D1Mit213,insulin,0.720170036174557,0.140384299312359,5.1299898899104,0,< 0.00296
mom,glucose,0.553978652767418,0.108208421546527,5.11955210925259,0,< 0.00296
D1Mit211,insulin,0.70542695187227,0.139436277324344,5.05913500710702,0,< 0.00296
D1Mit76,body_weight,0.829288616517856,0.166350957940574,4.98517487836833,0,< 0.00296
D1Mit411,body_weight,0.861206999084309,0.174479744662394,4.93585659900342,0,< 0.00296
D1Mit211,body_weight,0.859162242830988,0.175203982210901,4.90378261948851,0,< 0.00296
D1Mit76,glucose,0.807154660819797,0.166181679764449,4.85706163256916,0,< 0.00296
D1Mit123,body_weight,0.797531884855241,0.167728191640622,4.75490659652522,5e-04,0.00295587480116732
D1Mit46,insulin,0.671394048238838,0.143018054513529,4.69447057242222,0.001,0.0161209068010076
D1Mit213,body_weight,0.815235190219184,0.183937388809319,4.4321341924904,5e-04,0.00652719665271967
D1Mit123,glucose,0.725494175044786,0.167504019827024,4.33120456329336,0,< 0.00296
D1Mit213,glucose,0.725109658442163,0.168509617611906,4.30307580492029,0,< 0.00296
D1Mit46,body_weight,0.728094435060181,0.171462745175845,4.24637103712226,0.001,0.0155216284987277
D1Mit296,insulin,0.600647224897041,0.142926928686256,4.20247766056419,0.001,0.0125126135216953
D1Mit411,glucose,0.690159294784458,0.167101686152199,4.13017552770742,5e-04,0.0124623115577889
D12Mit132,body_weight,0.747207634051548,0.18538752388603,4.03051736378392,0.001,0.0245210727969349
D1Mit296,body_weight,0.695036101565065,0.177496265121893,3.9157787409654,0.001,0.015450861195542
D1Mit211,glucose,0.649646141533295,0.167194552996399,3.88557001343991,0.0015,0.0276013533566807
D12Mit262,body_weight,0.709811504394094,0.185922196745594,3.81778785329952,0.001,0.0364210167178437
D13Mit53,body_weight,0.704849327933438,0.190352208715797,3.70286918491083,0.001,0.0445356593124679
D12Mit259,body_weight,0.706272012141753,0.191887497267406,3.68065675043707,0.0015,0.0487285314871522
D1Mit296,glucose,0.598219944018552,0.170084821920473,3.51718593854461,0.003,0.0460562017790152
D18Mit60,body_weight,0.675426689856145,0.194796131688109,3.4673516563336,0.0015,0.0226062860059797
D1Mit213,D10Mit67,-1.17934817231729,0.369075645859879,3.19541044104828,0,< 0.00296
D1Mit123,D10Mit67,-1.15206763703544,0.360921496278123,3.1920172362016,0,< 0.00296
D1Mit76,D10Mit67,-1.13927349386074,0.366433398052172,3.10908749015976,0,< 0.00296
D1Mit46,D10Mit67,-1.06707366861944,0.345189435580826,3.09126977430217,0,< 0.00296
D1Mit123,D12Mit150,-0.990996037790909,0.328252654225364,3.01900388324212,0,< 0.00296
D1Mit411,D10Mit67,-1.12661085935433,0.394017092280914,2.85929438449618,0,< 0.00296
D1Mit76,D12Mit132,-0.800904973323918,0.282235937603243,2.837714360989,0,< 0.00296
D1Mit123,D12Mit132,-0.80509204373123,0.285551819976144,2.81942536313895,0,< 0.00296
D3Mit78,D10Mit67,-1.15292252674194,0.412832212112714,2.7927145530668,0,< 0.00296
D1Mit411,D10Mit48,-1.00990486782417,0.365995327785163,2.75933814219885,0,< 0.00296
D12Mit259,D14Mit212,-1.33015627519936,0.504465645655367,2.63676285323913,0,< 0.00296
D10Mit268,D6Mit58,-1.00376309050679,0.385691249018984,2.6025041871183,0,< 0.00296
D2Mit148,D18Mit60,-0.654577733265047,0.251877146160076,2.59879764100965,0,< 0.00296
D1Mit213,D12Mit150,-0.903833285637787,0.350495858080624,2.57872743657324,0.001,0.0456580406498308
D1Mit213,D10Mit48,-1.02348238293031,0.398591435561802,2.5677480538129,0.001,0.0456580406498308
D1Mit76,D12Mit262,-0.846251128536017,0.33346734537169,2.53773312524129,0.001,0.0456580406498308
D2Mit148,D18Mit140,-0.76392099244829,0.301658334182196,2.53240473040236,0.001,0.0456580406498308
D1Mit123,D12Mit262,-0.855501071282595,0.340779136496124,2.51042678280959,0.001,0.0456580406498308
D7Mit89,D14Mit212,-1.31249166526693,0.5235458226446,2.50692796790377,0.001,0.0456580406498308
D1Mit123,D10Mit48,-0.993061665364378,0.399205802371965,2.48759326508757,0.001,0.0456580406498308
D1Mit211,D12Mit150,-1.04806839582204,0.423840254635692,2.47279106776419,0.001,0.0456580406498308
D1Mit76,D10Mit48,-0.975297670558637,0.402817207480555,2.4211916781279,0.001,0.0456580406498308
D7Mit89,D11Mit41,-1.17993076802551,0.487524943449159,2.42024697172968,0.001,0.0456580406498308
D1Mit411,D12Mit150,-0.985911260526881,0.407853447258197,2.41731746330622,0.001,0.0456580406498308
D1Mit76,D12Mit150,-0.912675272854318,0.378306594939423,2.41252805280981,0.001,0.0456580406498308
D8Mit199,mom,0.483639537817824,0.466725505508086,1.03623978572014,0,< 0.00296
mom,D10Mit1,0.959530303969611,0.956380210430334,1.00329376696101,0,< 0.00296
mom,D2Mit109,0.460284284961534,0.493457917924266,0.932773126627946,0,< 0.00296
