sex,Final.IGF.1,body.weight,pctFat,fem.dens,fem.circ,D1Mit64,D1Mit236,D1Mit7,D1Mit386,D1Mit14,D1Mit540,D1Mit17,D2Mit365,D2Mit323,D2MIT206,D2Mit395,D2MIT285,D2MIT113,D3Mit60,D3MIT131,D3MIT178,D3Mit230,D3Mit57,D3Mit19,D3Mit258,D4MIT104,D4Mit111,D4Mit15,D4Mit170,D4Mit42,D5Mit146,D5Mit66,D5Mit200,D5MIT88,D5Mit95,D5Mit143,D6Mit86,D6Mit74,D6Mit14,D6Mit52,D7Mit75,D7Mit228,D7MIT93,D7MIT7,D7Mit332,D7Mit259,D8Mit124,D8Mit292,D8MIT75,D8Mit200,D8Mit92,D9Mit90,D9Mit1001,D9Mit253,D9Mit1006,D9Mit259,D9Mit12,D9Mit151,D10Mit77,D10Mit126,D10MIT96,D10Mit14,D11Mit2,D11Mit188,D11MIT30,D11Mit213,D11Mit214,D12Mit169,D12Mit60,D12Mit201,D12Mit5,D12MIT133,D13Mit16,D13Mit88,D13Mit125,D16Mit132,D13Mit35,D14Mit98,D14MIT60,D14Mit5,D14Mit68,D14Mit75,D15MIT80,D15MIT143,D15Mit67,D15Mit242,D16Mit60,D16Mit5,D16Mit189,D16Mit86,D17Mit164,D17MIT175,D17Mit20,D17Mit39,D17Mit76,D18Mit64,D18Mit147,D18Mit123,D18Mit9,D18Mit4,D19Mit68,D19Mit40,D19MIT88,D19MIT17,D19MIT108
,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,17,18,18,18,18,18,19,19,19,19,19
,,,,,,3.6683,23.6912,38.5545,48.814,67.708,76.728,95.029,19.38,31.4225,55.9405,59.974,75.407,96.2102,1.961,4.8482,14.268,36.5145,50.0865,80.73,66.685,3.5981,28.6951,43.158,70.4726,82.6371,3.43,17.268,32.795,48.461,63.8424,89.7997,1.806,23.6972,77.6401,62.563,3.8107,25.606,44.8612,63.442,77.8718,88.854,7.587,21.159,39.333,61.3675,74.62,17.8017,20.98,21.4569,28.616,38.8884,52.2379,72.4311,3.0335,14.235,51.19,66.746,7.305,27.389,42.8776,58.9,80.5953,7.031,15.5407,30.2,37.1648,60.561,7.2577,18.4769,41.954,56.05625,67.21,7.08,24.599,31.4878,37.6112,59.53,3.821,19.6187,32.169,45.1018,23.2733,34.2201,46.828,54.315,2.107,17.251,29.7318,45.636,55.4805,4.459,15.194,30.1182,42.5558,57.534,3.3831,20.3777,32.232,38.754,56.278
0,8.2,14.8,26.9,0.513,4.108,H,-,H,H,H,H,-,-,A,A,A,A,A,B,B,B,B,H,-,H,A,A,H,B,B,B,B,B,B,H,H,H,B,H,H,B,B,B,B,H,H,H,H,B,A,A,-,H,H,H,H,H,H,B,B,B,-,A,-,A,A,A,B,B,H,-,H,-,A,A,A,A,-,A,H,H,H,B,H,H,H,H,B,B,B,B,B,B,B,B,-,H,B,B,B,H,H,H,H,H
0,10.9,15.58,33,0.508,3.638,B,-,B,B,B,B,B,-,A,A,A,A,A,H,H,H,H,H,-,B,B,B,H,H,H,B,B,H,H,H,A,H,B,H,H,B,H,H,A,A,H,A,A,B,H,H,B,B,B,B,B,H,H,A,A,A,-,H,-,H,H,H,A,A,A,A,H,A,H,A,H,H,-,H,H,B,H,-,A,A,H,B,B,B,B,H,H,H,A,A,B,B,B,H,-,A,A,A,A,H
0,14.2,19.29,43.5,0.501,3.891,A,-,H,H,H,H,H,-,B,H,H,H,A,H,A,H,H,-,H,H,-,B,B,H,H,H,H,H,B,B,B,A,A,H,H,B,H,A,A,A,H,H,H,B,H,H,H,H,H,H,H,B,B,B,H,A,-,A,-,B,B,B,B,B,B,B,B,H,H,H,H,H,-,A,A,H,B,H,H,H,H,B,B,-,H,H,H,H,H,H,H,H,B,B,B,H,H,A,A,-
0,10,15.97,36.3,0.508,3.812,A,-,H,H,H,H,H,-,H,H,H,B,H,B,B,B,H,H,A,H,H,H,H,B,B,A,A,A,H,H,H,H,H,B,B,H,H,A,A,A,H,H,A,A,A,A,B,H,H,H,-,H,H,B,H,H,-,A,-,B,B,H,H,H,H,B,B,B,B,H,B,-,-,H,H,H,H,B,B,B,B,A,A,A,A,B,B,H,H,H,H,H,H,H,B,H,H,H,H,H
1,14.3,23.71,43.6,0.499,3.771,H,-,H,B,B,H,A,-,A,A,A,A,H,H,H,H,A,H,H,H,B,B,B,B,B,B,B,H,H,H,H,A,A,B,B,H,A,A,A,A,A,H,H,B,A,A,-,B,B,B,H,H,H,H,H,H,-,A,-,B,B,B,B,B,-,B,H,A,A,A,H,B,-,H,A,A,A,-,A,A,A,B,B,B,B,H,B,B,B,B,B,B,H,H,A,A,A,A,H,A
1,10,20.74,39.6,0.492,3.604,H,-,A,H,B,B,B,-,H,A,A,A,H,H,A,A,A,H,B,B,H,H,H,H,H,H,H,H,H,A,H,H,B,B,B,H,B,H,H,A,A,B,B,B,-,H,-,H,H,H,H,H,H,A,A,A,-,A,-,H,H,A,H,H,B,H,H,H,H,H,H,H,-,A,-,A,A,A,A,A,H,A,A,A,A,A,A,A,A,H,B,H,H,A,A,H,H,B,B,B
1,4.8,20.16,43.6,0.439,3.892,B,-,B,H,A,A,A,-,H,H,H,A,A,A,A,B,B,H,A,-,A,B,B,H,A,A,H,B,B,H,H,B,B,A,H,B,H,H,H,H,H,H,H,A,H,H,H,A,A,A,A,A,H,H,H,H,-,B,-,H,H,H,B,H,B,H,H,A,A,H,B,B,-,H,H,B,-,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H
0,12.1,19.16,42.3,0.5,3.954,H,-,H,H,H,B,B,-,B,B,H,H,H,H,H,H,B,B,A,H,H,H,H,H,H,H,-,A,A,A,H,H,H,B,H,B,A,A,H,H,H,H,A,A,A,A,H,A,H,H,H,B,H,B,H,H,-,A,-,A,-,H,H,H,A,A,A,A,A,H,H,A,-,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A
